Order_ID,Order_Date,City,Restaurant_Name,Cuisine,Customer_Age,Gender,Veg_NonVeg,Order_Amount,Delivery_Time,Rating,Payment_Mode,Delivery_Partner,Order_Status,Distance_km,Quantity
1,2025-03-24,Mumbai,Urban Tadka,North Indian,20,Male,Non-Veg,387,47,3.0,UPI,Karan,Cancelled,2.0,1
2,2025-05-22,Bangalore,Burger Hub,Biryani,21,Male,Veg,1774,18,4.9,UPI,Mohit,Delivered,5.1,2
3,2025-05-19,Delhi,Royal Biryani,Biryani,44,Male,Veg,2489,55,3.0,UPI,Mohit,Delivered,8.9,5
4,2025-02-22,Bangalore,Urban Tadka,Italian,32,Female,Non-Veg,1377,30,4.5,Card,Rahul,Delivered,9.0,5
5,2025-05-07,Jaipur,Chinese Bowl,Italian,37,Male,Veg,2246,41,2.9,Cash,Rahul,Cancelled,6.9,6
6,2025-01-20,Hyderabad,Tandoori Nights,Italian,40,Female,Non-Veg,2018,19,4.6,Cash,Karan,Delivered,1.8,6
7,2025-03-21,Ahmedabad,Chinese Bowl,Italian,40,Female,Non-Veg,242,44,3.4,Card,Aman,Cancelled,1.8,3
8,2025-02-03,Ahmedabad,Food Factory,Fast Food,30,Female,Veg,831,43,3.5,Cash,Rahul,Cancelled,13.1,3
9,2025-06-30,Bangalore,Tandoori Nights,Fast Food,25,Male,Veg,871,24,3.1,UPI,Aman,Cancelled,12.6,2
10,2025-03-09,Jaipur,Burger Hub,Chinese,31,Female,Non-Veg,664,59,4.6,Card,Arjun,Delivered,7.4,6
11,2025-05-24,Bangalore,Urban Tadka,Fast Food,30,Male,Non-Veg,1790,18,3.0,UPI,Karan,Delivered,2.5,5
12,2025-01-14,Delhi,Burger Hub,Biryani,22,Male,Non-Veg,254,19,4.7,Card,Karan,Delivered,9.9,3
13,2025-06-04,Jaipur,Chinese Bowl,North Indian,21,Female,Non-Veg,2117,45,3.3,UPI,Aman,Cancelled,11.4,4
14,2025-06-27,Mumbai,Burger Hub,Chinese,34,Female,Veg,2374,16,4.4,Cash,Arjun,Delivered,10.7,3
15,2025-05-13,Jaipur,Spice Kitchen,Italian,42,Male,Non-Veg,1063,54,4.5,UPI,Rahul,Cancelled,11.4,2
16,2025-02-21,Pune,Chinese Bowl,Italian,41,Male,Veg,1294,45,3.1,Card,Mohit,Cancelled,7.3,6
17,2025-03-31,Jaipur,Pizza Point,Chinese,21,Male,Non-Veg,955,36,3.0,Card,Mohit,Delivered,7.7,6
18,2025-03-30,Hyderabad,Pizza Point,North Indian,30,Male,Non-Veg,881,42,4.5,Cash,Aman,Cancelled,7.5,6
19,2025-01-22,Ahmedabad,Spice Kitchen,Chinese,22,Male,Veg,2056,56,2.9,Card,Karan,Cancelled,3.2,5
20,2025-02-03,Delhi,Burger Hub,North Indian,34,Male,Non-Veg,947,28,2.6,UPI,Vikas,Delivered,11.7,3
21,2025-03-08,Pune,Urban Tadka,Chinese,19,Female,Non-Veg,2266,41,4.6,Card,Rahul,Delivered,8.3,1
22,2025-04-23,Hyderabad,Spice Kitchen,Biryani,18,Male,Veg,729,45,4.0,UPI,Mohit,Delivered,5.6,5
23,2025-05-16,Pune,Chinese Bowl,North Indian,35,Male,Veg,933,32,2.6,UPI,Mohit,Cancelled,8.9,1
24,2025-04-24,Jaipur,Food Factory,Italian,32,Female,Veg,2293,31,4.8,UPI,Karan,Delivered,6.8,4
25,2025-04-24,Jaipur,Pizza Point,Chinese,31,Male,Veg,1390,22,4.7,UPI,Arjun,Cancelled,3.0,2
26,2025-04-30,Mumbai,Pizza Point,Fast Food,33,Male,Veg,811,60,3.6,Card,Karan,Cancelled,6.9,3
27,2025-03-23,Delhi,Tandoori Nights,North Indian,28,Female,Non-Veg,224,39,3.3,Card,Vikas,Delivered,2.6,2
28,2025-01-27,Delhi,Royal Biryani,Italian,19,Male,Non-Veg,680,42,4.6,Card,Vikas,Cancelled,3.1,5
29,2025-05-27,Bangalore,Tandoori Nights,North Indian,26,Male,Veg,1892,19,3.2,UPI,Arjun,Delivered,12.2,1
30,2025-06-05,Hyderabad,Food Factory,North Indian,26,Male,Non-Veg,197,36,5.0,Cash,Vikas,Delivered,1.6,6
31,2025-03-03,Delhi,Spice Kitchen,Italian,19,Male,Veg,1427,55,3.3,UPI,Vikas,Cancelled,8.0,2
32,2025-03-11,Jaipur,Burger Hub,Italian,19,Male,Veg,2221,50,4.9,Card,Karan,Delivered,14.1,1
33,2025-06-18,Hyderabad,Urban Tadka,Fast Food,35,Female,Non-Veg,1031,29,3.4,Card,Arjun,Delivered,6.7,3
34,2025-01-14,Hyderabad,Spice Kitchen,North Indian,20,Female,Non-Veg,818,18,2.7,Cash,Mohit,Cancelled,9.4,6
35,2025-03-17,Delhi,Chinese Bowl,Chinese,23,Female,Non-Veg,164,31,3.4,Cash,Mohit,Cancelled,4.4,3
36,2025-02-25,Jaipur,Spice Kitchen,North Indian,28,Female,Veg,2094,32,3.8,UPI,Rahul,Delivered,2.3,1
37,2025-02-06,Bangalore,Burger Hub,Fast Food,18,Female,Non-Veg,1103,20,4.0,Card,Rahul,Cancelled,11.7,6
38,2025-05-07,Mumbai,Royal Biryani,Biryani,38,Male,Veg,2251,55,3.6,Card,Mohit,Delivered,13.7,5
39,2025-05-26,Hyderabad,Burger Hub,Biryani,43,Male,Veg,277,17,2.8,Cash,Aman,Cancelled,12.7,5
40,2025-01-13,Ahmedabad,Burger Hub,Biryani,39,Male,Non-Veg,1230,15,3.6,UPI,Arjun,Delivered,10.2,1
41,2025-05-02,Jaipur,Pizza Point,Italian,25,Male,Veg,2035,46,4.6,UPI,Karan,Cancelled,11.7,5
42,2025-06-11,Ahmedabad,Food Factory,North Indian,37,Male,Non-Veg,1190,56,4.4,Cash,Mohit,Delivered,1.2,1
43,2025-05-05,Jaipur,Pizza Point,Chinese,39,Female,Non-Veg,2265,33,3.7,Cash,Aman,Delivered,5.4,1
44,2025-05-02,Delhi,Royal Biryani,Fast Food,20,Female,Non-Veg,1734,28,4.8,UPI,Aman,Delivered,3.0,5
45,2025-03-09,Jaipur,Spice Kitchen,Biryani,44,Female,Veg,1645,29,3.7,Cash,Karan,Delivered,3.2,4
46,2025-06-24,Bangalore,Urban Tadka,Italian,41,Male,Non-Veg,1558,39,3.3,Cash,Aman,Cancelled,11.5,4
47,2025-01-31,Mumbai,Burger Hub,Italian,26,Female,Veg,1759,39,5.0,Card,Aman,Cancelled,14.0,3
48,2025-01-13,Jaipur,Pizza Point,North Indian,44,Female,Veg,1171,32,3.6,Cash,Rahul,Cancelled,12.0,4
49,2025-01-08,Hyderabad,Urban Tadka,Biryani,35,Male,Veg,352,41,3.6,UPI,Arjun,Cancelled,7.8,5
50,2025-02-02,Mumbai,Chinese Bowl,Fast Food,28,Female,Non-Veg,1197,56,3.2,Card,Rahul,Cancelled,7.8,6
51,2025-04-11,Delhi,Spice Kitchen,Chinese,20,Male,Non-Veg,2404,29,3.6,Cash,Karan,Cancelled,3.0,2
52,2025-03-04,Delhi,Spice Kitchen,Italian,35,Male,Non-Veg,1129,38,3.1,Card,Rahul,Delivered,11.5,4
53,2025-04-09,Bangalore,Food Factory,Fast Food,26,Female,Veg,2190,32,3.9,Cash,Rahul,Delivered,2.3,2
54,2025-04-09,Bangalore,Chinese Bowl,Fast Food,27,Male,Veg,282,42,4.3,Cash,Mohit,Cancelled,1.0,4
55,2025-05-16,Hyderabad,Chinese Bowl,Fast Food,25,Male,Veg,782,24,3.8,Card,Aman,Cancelled,2.2,1
56,2025-01-01,Hyderabad,Spice Kitchen,Chinese,36,Male,Non-Veg,674,55,3.1,Card,Karan,Delivered,2.4,3
57,2025-05-15,Pune,Food Factory,Fast Food,26,Male,Veg,192,49,3.3,Cash,Vikas,Cancelled,10.0,2
58,2025-05-02,Pune,Food Factory,Biryani,25,Male,Non-Veg,1409,18,2.6,Cash,Arjun,Cancelled,2.1,2
59,2025-06-20,Bangalore,Tandoori Nights,Chinese,33,Male,Non-Veg,1872,38,4.2,UPI,Aman,Cancelled,11.3,5
60,2025-01-18,Mumbai,Chinese Bowl,Chinese,27,Male,Veg,2055,29,3.2,Cash,Aman,Cancelled,9.5,2
61,2025-05-05,Bangalore,Burger Hub,Biryani,22,Female,Veg,1022,16,4.9,UPI,Karan,Delivered,10.9,2
62,2025-04-11,Bangalore,Tandoori Nights,North Indian,20,Male,Non-Veg,931,26,4.1,Card,Arjun,Cancelled,1.4,6
